"Date","Time","Open","High","Low","Close","Up","Down","ZeroLine","3/10Line_2","16Line_2","ParCl","ParCl","Vol","Avg","PLOT1","MornDoji","EveDoji"
10/02/2020,09:15,3308.50,3310.00,3306.50,3307.50,1962,1957,0.00,-6.63,-0.75,3328.04,3339.33,3919.00,4851.70,0.00,0.00,0.00
10/02/2020,09:20,3307.50,3313.25,3307.50,3311.50,2536,1910,0.00,-3.71,-0.94,3327.50,3339.25,4446.00,5099.90,0.00,0.00,0.00
10/02/2020,09:25,3311.50,3313.50,3309.75,3312.75,1935,2328,0.00,-1.34,-0.99,3326.97,3339.16,4263.00,5039.00,0.00,0.00,0.00
10/02/2020,09:30,3312.75,3317.75,3311.75,3316.75,5181,4375,0.00,2.02,-0.90,3326.45,3339.08,9556.00,5407.10,0.00,0.00,0.00
10/02/2020,09:35,3316.75,3331.50,3311.50,3329.00,19957,17720,0.00,6.43,-0.68,3305.50,3338.99,37677.00,8830.40,0.00,0.00,0.00
10/02/2020,09:40,3328.75,3344.00,3326.00,3342.25,17949,14449,0.00,13.31,-0.22,3305.71,3305.50,32398.00,11569.00,0.00,0.00,0.00
10/02/2020,09:45,3342.25,3342.50,3335.75,3338.00,9913,8995,0.00,17.59,0.48,3306.32,3305.60,18908.00,12888.90,0.00,0.00,0.00
10/02/2020,09:50,3338.00,3343.25,3336.00,3342.25,8221,7192,0.00,19.26,1.29,3306.92,3305.69,15413.00,13907.50,0.00,0.00,0.00
10/02/2020,09:55,3342.25,3343.00,3332.75,3335.00,7520,8604,0.00,14.07,1.88,3307.52,3305.79,16124.00,14786.20,0.00,0.00,0.00
10/02/2020,10:00,3334.75,3341.50,3333.25,3340.25,5466,4265,0.00,11.64,2.46,3308.10,3305.88,9731.00,15243.50,0.00,0.00,0.00
10/02/2020,10:05,3340.25,3348.50,3339.25,3346.50,8144,7402,0.00,9.16,3.12,3308.67,3305.98,15546.00,16406.20,0.00,0.00,0.00
10/02/2020,10:10,3346.75,3353.50,3346.50,3351.00,8219,5361,0.00,10.54,4.07,3309.63,3306.19,13580.00,17319.60,0.00,0.00,0.00
10/02/2020,10:15,3350.75,3353.50,3347.50,3348.50,5788,6038,0.00,9.72,5.14,3311.03,3306.55,11826.00,18075.90,0.00,0.00,0.00
10/02/2020,10:20,3348.50,3350.75,3344.75,3347.50,4760,5673,0.00,6.97,6.00,3312.39,3306.90,10433.00,18163.60,0.00,0.00,0.00
10/02/2020,10:25,3347.50,3348.50,3341.75,3342.75,3566,4737,0.00,2.85,6.62,3313.71,3307.25,8303.00,15226.20,0.00,0.00,0.00
10/02/2020,10:30,3342.75,3351.50,3340.75,3350.25,6590,5827,0.00,2.63,7.16,3314.98,3307.59,12417.00,13228.10,0.00,0.00,0.00
10/02/2020,10:35,3350.00,3351.00,3344.00,3350.50,4715,5092,0.00,2.38,7.72,3316.21,3307.94,9807.00,12318.00,0.00,0.00,0.00
10/02/2020,10:40,3350.75,3350.75,3340.50,3340.75,4144,5989,0.00,1.87,8.07,3317.41,3308.28,10133.00,11790.00,0.00,0.00,0.00
10/02/2020,10:45,3340.50,3341.50,3337.25,3338.00,4356,5146,0.00,-2.52,7.99,3318.56,3308.62,9502.00,11127.80,0.00,0.00,0.00
10/02/2020,10:50,3338.00,3344.25,3336.00,3342.50,4693,3889,0.00,-5.41,7.53,3319.68,3308.96,8582.00,11012.90,0.00,0.00,0.00
10/02/2020,10:55,3342.25,3344.50,3339.75,3342.25,3781,3339,0.00,-4.48,6.85,3320.76,3309.29,7120.00,10170.30,0.00,0.00,0.00
10/02/2020,11:00,3342.50,3347.50,3342.50,3345.00,3441,3359,0.00,-1.55,5.92,3321.81,3309.62,6800.00,9492.30,0.00,0.00,0.00
10/02/2020,11:05,3345.00,3347.25,3340.25,3342.25,5071,5775,0.00,-1.01,4.76,3322.82,3309.95,10846.00,9394.30,0.00,0.00,0.00
10/02/2020,11:10,3342.25,3349.50,3339.25,3345.00,5692,5182,0.00,0.16,3.56,3323.81,3310.28,10874.00,9438.40,0.00,0.00,0.00
10/02/2020,11:15,3345.00,3348.00,3344.25,3346.25,2400,2185,0.00,0.22,2.70,3324.76,3310.60,4585.00,9066.60,0.00,0.00,0.00
10/02/2020,11:20,3346.00,3352.75,3343.00,3350.75,5841,4828,0.00,3.01,2.16,3325.68,3310.92,10669.00,8891.80,0.00,0.00,0.00
10/02/2020,11:25,3350.75,3353.50,3348.00,3348.75,4236,3941,0.00,4.43,1.86,3326.57,3311.24,8177.00,8728.80,0.00,0.00,0.00
10/02/2020,11:30,3349.00,3351.00,3346.50,3347.75,3119,3730,0.00,4.23,1.47,3327.43,3311.56,6849.00,8400.40,0.00,0.00,0.00
10/02/2020,11:35,3347.75,3348.25,3341.50,3342.25,4104,5118,0.00,0.97,0.92,3328.26,3311.87,9222.00,8372.40,0.00,0.00,0.00
10/02/2020,11:40,3342.25,3344.50,3338.25,3338.25,3394,4309,0.00,-2.10,0.36,3329.07,3312.19,7703.00,8284.50,0.00,0.00,0.00
10/02/2020,11:45,3338.25,3341.00,3336.50,3338.25,4514,4502,0.00,-4.87,-0.13,3329.85,3312.50,9016.00,8474.10,0.00,0.00,0.00
10/02/2020,11:50,3338.25,3342.50,3336.75,3342.25,3548,2543,0.00,-4.59,-0.58,3330.61,3312.80,6091.00,8403.20,0.00,0.00,0.00
10/02/2020,11:55,3342.50,3343.25,3333.50,3334.25,3142,5248,0.00,-5.13,-1.05,3331.34,3313.11,8390.00,8157.60,0.00,0.00,0.00
10/02/2020,12:00,3334.00,3334.50,3326.75,3327.75,6195,7717,0.00,-6.90,-1.59,3353.50,3313.41,13912.00,8461.40,0.00,0.00,0.00
10/02/2020,12:05,3327.75,3327.75,3321.50,3322.50,6810,7528,0.00,-11.11,-2.13,3353.29,3313.71,14338.00,9436.70,0.00,0.00,0.00
10/02/2020,12:10,3322.50,3335.75,3319.25,3334.25,12043,9132,0.00,-9.46,-2.38,3352.78,3314.01,21175.00,10487.30,0.00,0.00,3318.25
10/02/2020,12:15,3334.25,3353.50,3334.00,3345.00,14031,11058,0.00,-3.33,-2.31,3319.25,3314.31,25089.00,12178.50,0.00,0.00,0.00
10/02/2020,12:20,3345.25,3354.75,3343.00,3354.00,9720,8537,0.00,6.54,-1.81,3319.25,3314.60,18257.00,13319.30,0.00,0.00,0.00
10/02/2020,12:25,3354.25,3359.25,3350.00,3352.75,9528,9525,0.00,11.66,-1.02,3319.82,3315.00,19053.00,14302.40,0.00,0.00,0.00
10/02/2020,12:30,3353.00,3356.25,3349.50,3351.00,5739,5086,0.00,12.38,-0.25,3320.76,3315.56,10825.00,14614.60,0.00,0.00,0.00
10/02/2020,12:35,3351.00,3354.50,3347.50,3350.50,5871,5901,0.00,9.99,0.36,3321.69,3316.10,11772.00,14890.20,0.00,0.00,0.00
10/02/2020,12:40,3350.50,3358.50,3348.75,3357.75,5417,4825,0.00,10.11,0.80,3322.59,3316.64,10242.00,15305.30,0.00,0.00,0.00
10/02/2020,12:45,3357.50,3359.00,3354.75,3358.00,3183,3584,0.00,10.07,1.15,3323.47,3317.17,6767.00,15143.00,0.00,0.00,0.00
10/02/2020,12:50,3358.00,3358.75,3354.00,3355.00,2889,3167,0.00,8.84,1.44,3324.33,3317.70,6056.00,14357.40,0.00,0.00,0.00
10/02/2020,12:55,3355.00,3356.75,3351.25,3355.50,3731,4193,0.00,4.79,1.68,3325.17,3318.22,7924.00,13716.00,0.00,0.00,0.00
10/02/2020,13:00,3355.50,3359.00,3353.25,3354.25,3691,3170,0.00,1.54,1.91,3325.98,3318.73,6861.00,12284.60,0.00,0.00,0.00
10/02/2020,13:05,3354.00,3357.50,3352.50,3352.75,3275,3419,0.00,0.02,2.21,3326.78,3319.24,6694.00,10445.10,0.00,0.00,0.00
10/02/2020,13:10,3353.00,3353.25,3348.25,3351.75,3818,4030,0.00,-1.01,2.44,3327.56,3319.74,7848.00,9404.20,0.00,0.00,0.00
10/02/2020,13:15,3351.50,3356.50,3348.75,3349.25,3687,4601,0.00,-2.32,2.61,3328.32,3320.23,8288.00,8327.70,0.00,0.00,0.00
10/02/2020,13:20,3349.50,3353.25,3348.25,3352.75,4134,3980,0.00,-2.50,2.89,3329.06,3320.72,8114.00,8056.60,0.00,0.00,0.00
10/02/2020,13:25,3352.75,3357.75,3350.75,3357.50,3382,2756,0.00,-1.28,3.50,3329.79,3321.20,6138.00,7493.20,0.00,0.00,0.00
10/02/2020,13:30,3357.25,3358.50,3355.25,3356.00,2152,2352,0.00,1.14,4.16,3330.50,3321.68,4504.00,6919.40,0.00,0.00,0.00
10/02/2020,13:35,3356.25,3357.25,3347.50,3348.00,2852,3785,0.00,0.56,4.41,3331.19,3322.15,6637.00,6906.40,0.00,0.00,0.00
10/02/2020,13:40,3348.25,3354.00,3348.00,3353.00,3438,2334,0.00,-0.74,3.95,3331.86,3322.61,5772.00,6878.00,0.00,0.00,3347.00
10/02/2020,13:45,3353.25,3354.00,3340.50,3342.50,9030,10171,0.00,-3.94,2.98,3332.52,3323.07,19201.00,8005.70,0.00,3355.00,0.00
10/02/2020,13:50,3342.75,3345.50,3339.25,3342.25,5898,6340,0.00,-4.66,1.91,3333.16,3323.52,12238.00,8543.40,0.00,0.00,0.00
10/02/2020,13:55,3342.50,3344.50,3338.25,3343.50,4883,4131,0.00,-6.90,0.86,3333.78,3323.97,9014.00,8775.40,0.00,0.00,0.00
10/02/2020,14:00,3343.50,3346.75,3341.75,3345.00,3488,2934,0.00,-5.39,-0.11,3334.40,3324.41,6422.00,8632.80,0.00,0.00,0.00
10/02/2020,14:05,3344.75,3351.75,3344.25,3351.50,4672,3424,0.00,-2.53,-0.90,3334.99,3324.84,8096.00,8613.60,0.00,0.00,0.00
10/02/2020,14:10,3351.75,3355.50,3351.00,3354.75,3378,2964,0.00,1.02,-1.39,3335.57,3325.27,6342.00,8436.40,0.00,0.00,0.00
10/02/2020,14:15,3354.75,3357.00,3352.25,3354.00,2612,2418,0.00,4.37,-1.42,3336.14,3325.70,5030.00,8325.60,0.00,0.00,0.00
10/02/2020,14:20,3354.00,3355.25,3352.75,3354.00,1793,1979,0.00,5.40,-1.17,3336.70,3326.12,3772.00,8252.40,0.00,0.00,0.00
10/02/2020,14:25,3354.25,3356.50,3353.25,3355.50,2331,2145,0.00,4.90,-0.87,3337.24,3326.53,4476.00,8036.30,0.00,0.00,0.00
10/02/2020,14:30,3355.75,3356.00,3352.00,3353.25,1994,2379,0.00,4.63,-0.52,3337.77,3326.94,4373.00,7896.40,0.00,0.00,0.00
10/02/2020,14:35,3353.25,3355.25,3348.50,3352.25,3927,4055,0.00,3.07,-0.18,3338.28,3327.35,7982.00,6774.50,0.00,0.00,0.00
10/02/2020,14:40,3352.50,3354.00,3349.50,3349.75,3885,4176,0.00,0.40,0.00,3338.79,3327.74,8061.00,6356.80,0.00,0.00,0.00
10/02/2020,14:45,3349.75,3352.25,3348.00,3350.00,2985,3615,0.00,-1.33,-0.00,3339.28,3328.14,6600.00,6115.40,0.00,0.00,0.00
10/02/2020,14:50,3349.75,3354.25,3347.25,3349.25,5086,5679,0.00,-2.76,-0.25,3339.76,3328.53,10765.00,6549.70,0.00,0.00,0.00
10/02/2020,14:55,3349.00,3350.50,3346.25,3348.75,3165,3348,0.00,-2.82,-0.46,3340.22,3328.91,6513.00,6391.40,0.00,0.00,0.00
10/02/2020,15:00,3348.50,3356.00,3348.50,3352.25,5207,5280,0.00,-1.82,-0.52,3340.68,3329.29,10487.00,6805.90,0.00,0.00,0.00
10/02/2020,15:05,3352.25,3354.00,3345.25,3350.75,5358,5350,0.00,-0.99,-0.34,3341.13,3329.67,10708.00,7373.70,0.00,0.00,0.00
10/02/2020,15:10,3351.00,3351.00,3347.50,3348.75,3087,3214,0.00,-0.47,-0.08,3341.56,3330.03,6301.00,7626.60,0.00,0.00,0.00
10/02/2020,15:15,3348.50,3356.00,3341.00,3344.50,8822,8659,0.00,-1.95,0.23,3359.25,3330.40,17481.00,8927.10,0.00,0.00,0.00
10/02/2020,15:20,3344.75,3350.00,3341.50,3348.75,4743,3735,0.00,-2.17,0.43,3359.10,3330.76,8478.00,9337.60,0.00,0.00,0.00
10/02/2020,15:25,3348.50,3353.75,3347.00,3350.25,3963,3849,0.00,-1.47,0.50,3358.96,3331.12,7812.00,9320.60,0.00,0.00,0.00
10/02/2020,15:30,3350.25,3351.75,3348.25,3349.50,3094,3019,0.00,0.22,0.45,3358.82,3331.47,6113.00,9125.80,0.00,0.00,0.00
10/02/2020,15:35,3349.75,3355.50,3347.75,3352.50,4391,4211,0.00,1.22,0.25,3358.67,3331.82,8602.00,9326.00,0.00,0.00,0.00
10/02/2020,15:40,3352.25,3355.75,3350.50,3352.75,3166,3273,0.00,1.71,0.02,3358.53,3332.16,6439.00,8893.40,0.00,0.00,0.00
10/02/2020,15:45,3352.75,3353.25,3346.25,3349.25,3327,3981,0.00,1.57,-0.18,3358.39,3332.50,7308.00,8972.90,0.00,0.00,0.00
10/02/2020,15:50,3349.00,3349.50,3345.25,3347.75,3222,3756,0.00,0.44,-0.45,3358.25,3332.83,6978.00,8622.00,0.00,0.00,0.00
